angle	x1	y1	x	y2	length
-90	228238.1248	904457.8753	228238.1248	904472.8124	14.937099997
-90	228683.703	903296.8124	228683.703	903288.5001	8.31229999661
-90	228892.7966	902957.8126	228892.7966	902964.3124	6.49979999661
-90	228949.0152	904312.3127	228949.0152	904303.75	8.56269999966
-90	229001.484	904503.4377	229001.484	904517.6877	14.25
-90	229230.4842	902905.2502	229230.4842	902902.3128	2.93739999831
-90	229252.2073	903514.7278	229252.2073	903518.4664	3.73860000074
-90	229403.2273	904523.8649	229403.2273	904517.5254	6.33949999884
-90	229550.372	903802.7314	229550.372	903808.1417	5.41029999778
-90	229583.4032	904874.9198	229583.4032	904879.1996	4.27980000153
-90	229583.4032	904879.1996	229583.4032	904886.6886	7.48900000006
-90	229736.2342	904164.8127	229736.2342	904159.3752	5.4375
-90	229815.0274	904990.9037	229815.0274	905000.968	10.0642999969
-90	230127.3914	902432.0889	230127.3914	902436.7041	4.61520000175
-90	230228.5683	902319.9072	230228.5683	902323.8122	3.90499999747
-90	230228.5683	902323.8122	230228.5683	902327.3624	3.55020000041
-90	230272.8322	903025.4872	230272.8322	903002.908	22.5791999996
-90	230415.3843	904595.1784	230415.3843	904595.3601	0.181700002402
-90	230720.7964	903856.3127	230720.7964	903860.8127	4.5
-90	231612.7603	901574.6917	231612.7603	901558.042	16.6497000009
-90	231613.0659	901529.9357	231613.0659	901512.0639	17.871799998
-90	231621.7633	901294.3645	231621.7633	901292.1686	2.19590000063
-90	231660.0414	902435.4917	231660.0414	902427.9151	7.57660000026
-90	231805.0501	901641.2251	231805.0501	901654.3773	13.1522000022
-90	232534.3132	902808.6255	232534.3132	902815.1848	6.55929999799
-90	232965.8821	901525.531	232965.8821	901529.0454	3.51440000162
-90	233345.8588	901871.9138	233345.8588	901874.2199	2.3060999997
-90	233391.4601	901438.2181	233391.4601	901447.8964	9.67830000073
-90	234217.2321	901425.2896	234217.2321	901420.4717	4.81789999828
-90	234427.5622	901330.0002	234427.5622	901328.3127	1.6875
-90	234673.9627	901284.0063	234673.9627	901275.334	8.67229999974
-90	234737.3176	901444.1993	234737.3176	901456.0029	11.8036000021
-90	234892.0122	902151.6512	234892.0122	902156.7062	5.0549999997
-90	235103.7857	901960.516	235103.7857	901973.2059	12.6898999996
-89.9737690037	228511.7498	905454.5135	228511.7652	905420.8756	33.6379035275
-89.9674212922	229526.9035	904968.3695	229526.8974	904979.0975	10.7280017344
-89.962815753	229473.5464	903091.3125	229473.5623	903066.8128	24.4997051581
-89.9558299342	230056.5624	904626.2501	230056.5465	904646.875	20.6249061271
-89.9289860742	231833.3268	901838.5089	231833.2966	901862.875	24.3661187137
-89.908716442	230139.0179	904807.044	230138.955	904846.5243	39.4803501079
-89.8890448095	231625.9371	901508.4379	231625.8506	901553.1053	44.6674837576
-89.8318948781	230387.6021	905317.9007	230387.5622	905331.4999	13.5992585322
-89.830385969	230387.6871	905289.1877	230387.6021	905317.9007	28.7131258133
-89.8266648496	231487.0453	903804.676	231486.9373	903840.3752	35.6993633653
-89.8123082026	230111.0469	905413.0625	230110.7187	905513.2502	100.188237565
-89.8059235736	231734.6854	901928.6015	231734.4842	901988.0001	59.3989407608
-89.7627113614	231354.1404	904149.7501	231354.2341	904127.1254	22.6248940304
-89.729197547	233586.9867	902654.2862	233586.9657	902658.7293	4.44314962516
-89.6867063321	231934.5994	901642.8696	231934.4842	901663.9374	21.0681149545
-89.5988445633	232693.2185	902688.6875	232693.0931	902706.5977	17.9106389946
-89.4845745968	229563.0712	902859.0386	229562.8613	902882.3709	23.3332441228
-89.4585018309	229676.4218	905338.7503	229676.2186	905360.2502	21.5008602195
-89.4276238765	231612.7603	901558.042	231612.9129	901542.767	15.2757622302
-89.3336979387	233657.251	901599.3046	233657.0764	901614.3179	15.0143152354
-89.3173119819	229684.3875	902213.8617	229684.1868	902230.705	16.8444956996
-89.3168393746	231612.9129	901542.767	231613.0659	901529.9357	12.8322121526
-89.2923184179	229960.7027	905402.5	229958.2184	905603.6253	201.140642455
-89.2711723824	230128.4564	902451.2592	230128.3115	902462.6497	11.39142161
-89.2545616261	230088.8911	902407.2907	230088.7037	902421.6938	14.4043190862
-89.2337190186	230230.9501	905091.6264	230230.4094	905132.0528	40.4300157471
-89.2292757107	230105.8117	906000.0009	230105.7128	906007.3527	7.35246519383
-89.2180608113	229212.0122	903559.4495	229211.9272	903565.6774	6.22848002621
-89.2125669922	230032.7027	905498.0002	230034.0912	905396.9755	101.034241436
-89.189172447	231615.1559	903778.0002	231614.7499	903806.6876	28.6902728269
-89.1590545768	234686.9061	901356.125	234686.9711	901351.6967	4.42877702048
-89.1526056781	229801.7344	905415.6875	229800.5465	905496.0004	80.3216845734
-89.1341578718	235089.3867	901959.7116	235089.2454	901969.0612	9.35066767085
-89.1317785293	230337.2823	905132.7824	230335.4022	905256.8447	124.076545154
-89.1274470813	231637.9998	901794.5624	231637.5467	901824.3127	29.75375018
-89.1218658298	230127.9372	903389.7501	230127.6249	903410.1252	20.3774932516
-89.111022559	230111.9869	902528.1227	230111.8123	902539.375	11.2536545393
-89.1023867541	230112.4375	905177.0003	230113.828	905088.2502	88.7609922239
-89.0908858511	229683.1843	902248.5508	229682.7834	902273.8149	25.2672806141
-89.0771594214	231613.5242	901497.5527	231613.8293	901478.6118	18.9433571176
-89.0154360039	231700.578	903740.0001	231699.0313	903830.0	90.0131894813
-89.0013074882	230075.3277	902430.2504	230075.6247	902413.213	17.0399884905
-88.9874434033	230073.7656	902395.9376	230074.3124	902365.0	30.9424317742
-88.9417470362	230397.4842	904853.6877	230396.2027	904923.0626	69.3867349899
-88.9281231416	234730.9785	901512.3383	234730.6949	901527.496	15.1603528391
-88.900352983	231627.1562	901811.7334	231627.5402	901791.728	20.0090850639
-88.8997102317	231627.086	901815.3885	231627.1562	901811.7334	3.65577407269
-88.8995680947	233251.1552	900696.6439	233251.2432	900692.0626	4.58214509486
-88.8972269011	229803.6922	902166.5412	229803.4915	902176.9675	10.4282314986
-88.887118803	230107.0307	905938.5005	230106.2658	905977.8758	39.3827287261
-88.8846074446	229474.937	902946.8128	229473.9842	902995.7503	48.9467745014
-88.8642868565	230030.9061	905588.6253	230032.7027	905498.0002	90.6429066275
-88.8344138771	229797.8124	903515.3125	229797.2656	903542.1874	26.8804620525
-88.8242149674	230106.2658	905977.8758	230105.8117	906000.0009	22.1297595308
-88.8215039093	229662.3388	905146.14	229661.8652	905169.1621	23.0269708227
-88.7780374301	229879.734	905549.9375	229882.7496	905408.5625	141.407158476
-88.759001273	230233.3749	904706.5	230232.3432	904754.1252	47.6363734965
-88.6667135568	231330.8812	902866.5716	231330.5935	902878.9328	12.3645475721
-88.6589929151	230119.9531	904915.7503	230121.5464	904847.6875	68.0814464367
-88.6381048959	231608.3438	903967.3757	231607.6357	903997.1603	29.7930160074
-88.6376038636	229493.1008	903994.7969	229493.4417	903980.463	14.3379532027
-88.6370117569	229641.505	902070.2109	229641.208	902082.6935	12.4861327783
-88.6343475657	233912.7447	901273.7683	233912.5035	901283.8859	10.1204746506
-88.6253000667	230202.2028	905004.8127	230200.1405	905090.7503	85.9623416115
-88.6252365262	229330.8316	904278.984	229331.0937	904268.0626	10.9245445834
-88.6170272547	230116.9374	905012.125	230117.9061	904972.0001	40.136591529
-88.6091815444	231626.7066	901823.1264	231626.7988	901819.3289	3.79861910608
-88.6035767684	229734.542	901919.3133	229734.3623	901926.685	7.37388994907
-88.6030259024	234427.0246	901426.8118	234427.3702	901412.6401	14.1759133841
-88.6029802698	231615.7242	901425.0448	231615.9987	901413.789	11.2591466744
-88.6024062717	230306.5464	904648.2502	230308.4372	904570.7503	77.522961917
-88.6022200887	228791.5962	903395.165	228790.9987	903419.652	24.4942886248
-88.5954727879	229665.0519	905210.8415	229664.9638	905214.4347	3.59427988109
